Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
Ice Cream Vanilla,0.77,vanillaIceCream,1 cup,133,4.691442,351,61,269,4.8,31.8,0,60,14.4,0.1,19,116,134,257,1.4,0.14,0.05,0.33,133,0.06,1,DAIRY
Ice Milk Vanilla,0.43,vanillaIceMilk,1 cup,131,4.620894,176,69,183,5.1,29,0,18,5.6,0.2,19,105,129,265,0.6,0.12,0.08,0.35,53,0.09,1,DAIRY
Kefir,0.48,kefir,1 cup,233,8.218842,350,82,160,9.3,8.8,0,10,4.5,0.5,28,50,319,205,0.9,0.3,0.45,0.44,155,0.09,6,DAIRY
Lamb - Chops lean and fat,0.69,lambChops,2.2 oz,63,2.222262,16,44,220,20,0,0,77,15,1.5,11,46,132,195,2.9,4.4,0.04,0.16,0,0.11,0,MEAT
Lamb leg roasted lean and fat,0.76,lambRoasted,3 oz,85,2.99829,8,59,205,22,0,0,78,13,1.7,20,57,162,273,3.8,5.5,0.09,0.25,0,0.17,0,MEAT
Lard,0.45,lard,1/4 cup,54,1.904796,0,0,453,0,0,0,49,51,0,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Lemonade concentrate,0.41,lemon,3/4 cup,219,7.725006,15,52,397,0.6,103,0.9,0,0.4,1.6,11,8,19,148,0.2,0.16,0.06,0.21,21,0.06,39,BEVERAGES
Lettuce Butterhead/Boston,0.35,lettuce,1 head,163,5.749662,52,96,21,2.1,3.8,2.7,0,0.4,0.5,18,8,38,419,0.4,0.49,0.1,0.1,158,0.11,13,VEGETABLES AND LEGUMES
"Lima Beans, thick seeded",0.87,limaBeans,1/2 cup,85,2.99829,19,74,85,5.2,16,4.6,0,0.3,1.2,29,45,54,347,0.4,0.91,0.06,0.05,16,0.1,11,VEGETABLES AND LEGUMES
Lucky Charms cereal,0.2,cereal,1 cup,32,1.128768,36,3,125,2.9,26.1,0.7,0,1.2,5.1,27,227,88,66,0.6,5.6,0.4,0.5,424,0.6,17,GRAIN PRODUCTS
"Macaroni, cooked firm stage hot",0.43,macSalad,1 cup,130,4.58562,14,64,190,6.5,39.1,1,0,0.7,2.1,17,1,85,103,0.6,1.82,0.23,0.13,0,0.1,0,GRAIN PRODUCTS
Mango raw edible part,1.9,mango,1 ea,207,7.301718,21,82,135,1.1,35.2,2.9,0,0.6,0.3,18,4,22,323,0.1,1.21,0.12,0.12,806,0.28,57,FRUITS
"Margarine - Regular, hard",1.29,margarine,1/2 cup,113,3.985962,34,16,812,1,1,0,0,91,0.1,3,1066,26,48,0.2,0.03,0.01,0.04,1122,0.01,0,FATS AND OILS
Marshmallows,0.13,marshmallow,4 ea,28,0.987672,2,17,90,0.6,23,0,0,0,0.1,1,55,23,91,0,0.2,0.01,0.01,0,0.01,0,SWEETENERS AND SWEETS
"Melba toast, plain",0.07,melbaToast,1 pce,5,0.17637,6,4,20,1,4,0.1,0,0.3,0.1,30,44,10,11,0.4,0.1,0.01,0.01,0,0.01,0,BAKED GOODS
Milk - 2% Low Fat,0.36,twoMilk,1 cup,244,8.606856,297,89,121,8.1,11.7,0,22,4.8,0.1,33,122,232,377,1,0.21,0.1,0.4,140,0.1,2,DAIRY
Milk - Whole,0.36,wholeMilk,1 cup,244,8.606856,291,88,150,8,11.4,0,33,8.1,0.1,33,120,228,370,0.9,0.2,0.09,0.4,76,0.1,2,DAIRY
Mixed grain toasted,0.35,mixedToast,1 pce,23,0.811302,273,27,65,2,12,1,0,0.9,0.8,12,106,55,56,0,1.1,0.08,0.1,0,0.02,0,BAKED GOODS
"Muffins Blueberry, commercial",0.83,blueMuffin,1 ea,45,1.58733,15,33,140,2.7,22,1.3,45,4.9,0.9,5,225,90,54,0.2,1.17,0.11,0.13,11,0.01,0.5,BAKED GOODS
Mushrooms raw sliced,0.82,mushroom,1/2 cup,35,1.23459,2,92,9,0.7,1.6,0.8,0,0.1,0.4,4,1,36,130,0.3,1.44,0.04,0.16,0,0.03,1,VEGETABLES AND LEGUMES
Nectarines raw without pits,2.6,nectarine,1 ea,136,4.797264,6,86,67,1.3,16,3.1,0,0.6,0.2,11,0,22,288,0.1,1.35,0.02,0.06,100,0.03,7,FRUITS
Oil - Corn,0.42,cornOil,1/4 cup,54,1.904796,0,0,482,0,0,0,0,54,0,0,0,1,0,0.1,0,0,0,0,0,0,FATS AND OILS
Oil - Olive,0.55,oliveOil,1/4 cup,54,1.904796,0,0,477,0,0,0,0,54,0.2,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Oil - Peanut,0.32,peanutOil,1/4 cup,54,1.904796,0,0,477,0,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Onions raw chopped,1.9,onion,1 cup,160,5.64384,40,91,54,1.9,11.7,2.6,0,0.4,0.6,16,3,46,248,0.3,0.16,0.1,0.02,0,0.25,13,VEGETABLES AND LEGUMES
Orange (12 fl oz),0.53,orange,1 1/2 cups,372,13.121928,19,88,177,0,45.8,0,0,0,0.2,4,46,4,9,0.4,0,0,0,0,0,0,BEVERAGES
Orange juice,0.44,orangeJuice,1 cup,248,8.747952,27,88,111,1.7,25.8,0.5,0,0.5,0.5,27,2,42,496,0.1,0.99,0.22,0.07,50,0.1,124,FRUITS
Oysters - raw Pacific,5.3,pacifcOyster,1 cup,240,8.46576,202,85,160,21,8,0,120,5,16.8,54,185,379,290,74.4,6,0.29,0.43,223,0.13,24,FISH/SHELLFISH
Oysters Eastern raw,13.71,eastOyster,1 cup,240,8.46576,226,85,160,20,8,0,120,4,15.6,116,175,343,290,96.7,6,0.34,0.43,223,0.13,24,FISH AND SHELLFISH
"Peach pie, piece",0.87,peachPie,1 pce,158,5.573292,27,48,405,33.5,60.7,2.8,0,17.5,1.9,16,423,55,235,0.3,2.3,0.17,0.15,93,0.07,5,BAKED GOODS
Peaches juice pack,0.79,peachJuice,1 cup,248,8.747952,15,88,109,1.6,28.7,4.1,0,0.1,0.7,18,11,43,317,0.3,1.44,0.02,0.04,94,0.05,9,FRUITS
Peaches raw whole,1.44,peach,1 ea,87,3.068838,4,88,37,0.6,9.6,2,0,0.1,0.1,6,0,10,171,0.1,0.86,0.01,0.04,47,0.02,6,FRUITS
Peanut Butter,0.07,peanutButter,1 tbsp,16,0.564384,5,2,95,4.6,2.5,1.2,0,8.2,0.3,28,75,60,110,0.5,2.15,0.02,0.02,0,0.06,0,"NUTS, SEEDS AND PRODUCTS"
Pears raw Bartlett,0.84,pear,1 ea,166,5.855484,19,84,98,0.7,25.1,5,0,0.7,0.4,9,1,18,208,0.2,0.17,0.03,0.07,3,0.03,7,FRUITS
"Peas, green canned drained",0.21,pea,1/2 cup,85,2.99829,17,82,59,3.8,10.7,5.4,0,0.3,0.8,15,186,57,147,0.6,0.62,0.1,0.07,65,0.05,8,VEGETABLES AND LEGUMES
Pepper black,0.05,pepper,1 tsp,2,0.070548,9,11,5,0.2,1.4,0.3,0,0.1,0.5,4,1,3.67,26.7,0,0.02,0.01,0.01,0,0,0,MISCELLANEOUS
Pickles dill medium,0.37,pickle,1 pickle,65,2.29281,17,93,5,0.5,1.4,0.9,0,0.1,0.7,8,928,14,130,0.2,0.01,0.01,0.01,7,0.01,4,MISCELLANEOUS
Pine nuts/pinyon dried,1.11,pineNut,1 oz,28,0.987672,2,6,161,3.3,5.5,1.7,0,17.3,0.9,67,20,10,178,1.2,1.24,0.35,0.06,1,0.08,1,"NUTS, SEEDS AND PRODUCTS"
"Pineapple raw chunks, dices",0.98,pineapple,1 cup,155,5.46747,11,86,76,0.6,19.2,2.9,0,0.7,0.6,21,2,11,175,0.1,0.65,0.14,0.06,4,0.14,24,FRUITS
"Pineapple, juice canned",0.66,pineappleJuice,1 cup,250,8.8185,43,86,140,0.8,34.4,0.8,0,0.2,0.6,34,3,20,335,0.3,0.64,0.14,0.06,1,0,27,FRUITS
Pinto Beans cooked from dry,0.95,pinto,1 cup,180,6.34932,86,66,265,15,49,18.9,0,0.8,5.4,103,3,296,882,2.4,0.7,0.33,0.16,1,0.33,0,VEGETABLES AND LEGUMES
"Plantains, cooked, boiled,sliced",1.12,plantain,1 cup,154,5.432196,3,67,179,1.2,48,4.3,0,0.3,0.9,49,8,43,716,0.2,1.16,0.07,0.08,140,0.37,17,FRUITS
Plums,0.42,plum,3 ea,95,3.35103,10,84,55,0.5,14.4,2.1,0,0.1,0.3,8,1,15,147,0.1,0.45,0.02,0.06,96,0.04,3,FRUITS
"Popcorn, air popped plain",0.05,popcorn,1 cup,8,0.282192,1,4,30,1,6,1.4,0,0.4,0.2,23,0.5,22,20,0.2,0.2,0.03,0.01,1,0.02,0,GRAIN PRODUCTS
"Pork - Chops, Broiled lean & fat",1.15,porkChop,3.1 oz,87,3.068838,4,50,275,23.9,0,0,84,19.2,0.7,22,61,184,312,1.7,4.35,0.87,0.24,3,0.35,0.3,MEAT
"Pork, rib roasted lean and fat",0.75,porkRib,3 oz,85,2.99829,9,51,270,21,0,0,69,20,0.8,16,37,190,313,1.7,4.17,0.5,0.24,3,0.3,0.3,MEAT
Potato chips,0.3,chip,14 chips,28,0.987672,7,2,148,1.8,14.7,0.5,0,10.1,0.3,17,133,43,369,0.3,1.19,0.04,0.01,0,0.14,12,VEGETABLES AND LEGUMES
Potatoes mashed,0.81,mashedPotato,1 cup,210,7.40754,55,78,162,4.1,36.9,1.2,4,1.2,0.6,39,636,100,628,0.6,2.35,0.18,0.08,12,0.49,14,VEGETABLES AND LEGUMES
"Pretzels, thin sticks",0.02,pretzel,10 ea,3,0.105822,1,2,10,0.3,2.4,0.1,0,0.1,0.1,1,48,3,3,0,0.13,0.01,0.01,0,0.01,0,BAKED GOODS
Prune juice bottled or canned,1.54,pruneJuice,1 cup,256,9.030144,31,81,181,1.6,44.7,3,0,0.1,3,36,10,64,707,0.5,2.01,0.04,0.18,0,0.56,11,FRUITS
Pudding canned Chocolate,0.6,pudding,5 oz,142,5.008908,74,68,205,3,30,0.1,1,11,1.2,24,285,117,254,0.7,0.6,0.04,0.17,31,0.03,0,DAIRY
Raisin bread slice,0.27,raisinBread,1 pce,25,0.88185,25,33,68,1.9,13.2,0.7,0,1,0.8,6,92,22,59,0.1,1.02,0.08,0.15,0,0.01,0,BAKED GOODS
"Raisins, seedless",1.59,raisin,1 cup,145,5.11473,71,15,435,4.7,115,9.6,0,0.7,3,48,17,140,1089,0.5,1.19,0.23,0.13,1,0.36,5,FRUITS
Raw white,0.2,rawWhite,1 ea,33,1.164042,4,88,16,3.4,0.4,0,0,0,0,3,50,4,45,0.1,0.03,0.01,0.09,0,0.01,0,EGGS
Raw Yolk,0.2,eggYolk,1 ea,17,0.599658,26,49,63,2.8,0.1,0,272,5.6,0.9,3,8,86,15,0.5,0.01,0.04,0.07,94,0.05,0,EGGS
Rhubarb cooked added sugar,1.85,rhubard,1 cup,240,8.46576,348,68,279,0.9,74.9,5.3,0,0.1,0.5,30,2,19,230,0.2,0.48,0.04,0.06,17,0.05,8,FRUITS
"Rice, brown cooked",1.51,brownRice,1 cup,195,6.87843,23,70,232,4.9,49.7,3.9,0,1.2,1.2,72,0,142,137,1,2.73,0.18,0.04,0,0.29,0,GRAIN PRODUCTS
Root Beer (12 fl oz),0.4,rootBeer,1 1/2 cups,370,13.05138,19,89,152,0.1,39.2,0,0,0,0.2,4,49,2,3,0.3,0,0,0,0,0,0,BEVERAGES
"Rye wafers, whole grain",0.12,ryeWafer,2 ea,14,0.493836,7,5,55,1,10,1.4,0,1,0.5,16,115,44,65,1.6,0.5,0.06,0.03,0,0.03,0,BAKED GOODS
"Rye, sliced",0.23,ryeSliced,1 pce,25,0.88185,20,37,65,2.1,12,1.6,0,0.9,0.7,6,175,36,51,0.4,0.83,0.1,0.08,0,0.02,0,BAKED GOODS
Safflower,2.74,safflower,1/4 cup,54,1.904796,0,0,482,0,0,0,0,54,0,0,0,1,0,0.1,0,0,0,0,0,0,FATS AND OILS
Salad Dressing - Blue Cheese,0.11,dressingBlue,1 tbsp,15,0.52911,12,32,75,0.7,1.1,0,3,8,0,1,0.3,11,6,0.3,0.01,0.01,0.02,10,0.01,0,FATS AND OILS
Salad Dressing - French Regular,0.08,dressingFrench,1 tbsp,16,0.564384,2,35,85,0.1,1,0.1,0,9,0.1,1,188,1,2,0,0,0,0,0,0.01,0,FATS AND OILS
Salad Dressing - Italian Regular,0.05,dressingItalian,1 tbsp,14,0.493836,1,34,80,0.1,1,0,0,9,0,1,162,1,5,0,0,0,0,3,0.03,0,FATS AND OILS
Salad Dressing 1000 Island,0.08,dressingThousand,1 tbsp,16,0.564384,2,46,60,0.1,2.4,0,4,5.7,0.1,1,110,3,18,0,0.03,0.01,0.01,15,0.01,0,FATS AND OILS
Salad Dressing Mayonnaise,0.09,dressingMayo,1 tbsp,14,0.493836,2,15,100,0.2,0.4,0,8,11,0.1,1,80,4,5,0,0.01,0.01,0.01,12,0.01,0,FATS AND OILS
Salmon - Broiled or baked,2.61,salmonBroiled,3 oz,85,2.99829,26,67,140,21,0,0,60,5,0.5,26,55,269,305,0.9,5.5,0.18,0.14,87,0.68,0,FISH/SHELLFISH
"Salmon, canned pink solids",0.96,salmonCanned,3 oz,85,2.99829,167,71,120,17,0,0,34,5,0.7,23,443,243,307,0.8,6.8,0.03,0.15,18,0.38,0,FISH AND SHELLFISH
Saltine crackers,0.07,saltineCracker,4 ea,12,0.423288,3,4,50,1,9,0.1,4,1.1,0.5,3,165,12,17,0.1,0.6,0.06,0.05,0,0.01,0,BAKED GOODS
Skim Milk,0.6,skimMilk,1 cup,245,8.64213,302,91,86,8.3,11.9,0,4,0.4,0.1,28,126,247,406,0.9,0.22,0.09,0.34,149,0.1,2,DAIRY
"Snack cakes, chocolate",0.36,chocolateSnackCake,1 ea,28,0.987672,21,20,105,1,17,0.1,15,4,1,2,105,26,34,0.2,0.7,0.06,0.09,4,0.01,0,BAKED GOODS
Soybean,0.54,soyBean,1/4 cup,54,1.904796,0,0,482,0,0,0,0,54,0,0,0,1,0,0.1,0,0,0,0,0,0,FATS AND OILS
"Spaghetti, cooked firm stage hot",0.75,spaghetti,1 cup,130,4.58562,14,64,190,6.5,39.1,1.4,0,0.6,2.1,17,1,85,103,0.6,1.82,0.23,0.13,0,0.1,0,GRAIN PRODUCTS
Spinach raw chopped,0.47,spinach,1 cup,56,1.975344,55,92,12,1.6,2,2.3,0,0.2,1.5,44,44,27,312,0.3,0.41,0.04,0.11,376,0.11,16,VEGETABLES AND LEGUMES
Strawberries thawed measure,1.41,strawberry,1 cup,255,8.99487,28,73,245,1.4,66.1,5.5,0,0.3,1.5,18,8,33,250,0.1,1.2,0.04,0.13,6,0.08,106,FRUITS
Tea Brewed,0.42,tea,1 cup,240,8.46576,0,99,2,0,0.5,0,0,0,0,7,6.7,1,89,0,0.1,0,0.03,0,0,0,BEVERAGES
Tomatoes raw whole,0.55,tomato,1 tomato,123,4.338702,9,94,24,1.1,5.3,2.2,0,0.3,0.6,14,10,28,255,0.1,0.74,0.07,0.06,139,0.09,22,VEGETABLES AND LEGUMES
Trout broiled w/butter & lemon,3.6,trout,3 oz,85,2.99829,26,63,175,21,0.3,0,71,9,1,30,122,259,297,0.2,2.3,0.07,0.07,60,0.41,1,FISH AND SHELLFISH
"Tuna, oil packed",1.02,tuna,3 oz,85,2.99829,7,61,165,24,0,0,55,7,1.6,27,303,199,298,0.9,10.1,0.04,0.09,20,0.47,0,FISH AND SHELLFISH
"Turkey - Roasted whole, slices",1.56,turkey,3 oz,85,2.99829,21,65,145,24.9,0,0,64,4.2,1.5,22,60,181,254,2.6,4.63,0.05,0.15,0,0.39,0,POULTRY
Veal cutlet braised or broiled,2.81,veal,3 oz,85,2.99829,9,60,185,23,0,0,109,9.4,0.8,15,56,196,258,3.5,4.6,0.06,0.21,0,0.27,0,MEAT
Vegetable juice cocktail canned,0.86,vegeJuice,1 cup,242,8.536308,27,94,46,1.5,11,1.5,0,0.2,1,27,883,41,467,0.5,1.76,0.1,0.07,283,0.34,67,VEGETABLES AND LEGUMES
Water chestnuts canned sliced,0.47,chestnut,1/2 cup,70,2.46918,3,86,35,0.6,8.7,0.6,0,0.1,0.6,3,6,14,82,0.3,0.25,0.01,0.02,0,,0.9,VEGETABLES AND LEGUMES
"Wheat bread, sliced",0.15,wheatBread,1 pce,25,0.88185,32,37,65,2.4,11.8,1.4,0,1,0.9,12,135,47,35,0.3,1.13,0.12,0.08,0,0.03,0,BAKED GOODS
"Wheat cracker, thin",0.06,wheatCracker,4 ea,8,0.282192,3,3,35,1,5,0.4,0,1.4,0.3,7,69,15,17,0.2,0.4,0.04,0.03,0,0.01,0,BAKED GOODS
"White rice, raw dry",1.17,whiteRice,1 cup,185,6.52569,44,12,670,12.4,149,2.6,0,0.7,5.4,63,9,174,170,2.4,6.48,0.81,0.06,0,0.3,0,GRAIN PRODUCTS
Yellow cake,0.25,yellowCake,1 pce,69,2.433906,23,23,245,2.5,38.6,0.3,38,10.9,1.2,4,192,117,123,0.2,0.62,0.05,0.14,30,0.03,0,BAKED GOODS
Yogurt lowfat fruit added,2,lowYogurt,1 cup,227,8.007198,345,74,231,9.9,43,0.3,10,2.5,0.2,33,133,271,442,1.7,0.22,0.08,0.4,25,0.09,2,DAIRY
Yogurt whole milk,1.6,wholeYogurt,1 cup,227,8.007198,275,88,138,7.9,10.6,0,29,7.4,0.1,27,104,216,352,1.3,0.17,0.07,0.32,68,0.07,1,DAIRY